doy,month,hour,growth_stage,temperature_mean_C,temperature_max_C,temperature_min_C,humidity_pct,wind_speed_2m_ms,rainfall_mm,sunshine_hours,soil_moisture_pct,soil_ph,nitrogen_mgkg,phosphorus_mgkg,potassium_mgkg,crop_health_score,Ra_MJ_m2_day,Rs_MJ_m2_day,Rn_MJ_m2_day,es_kPa,ea_kPa,VPD_kPa,ETo_mm_day,Kc,ETc_mm_day,Ks_stress_coeff,Pe_eff_rain_day_mm,CWR_mm_per_day,soil_fertility_score,fertility_class,irrigation_needed
103,4,7,2,34.08,38.97,29.75,46.6,1.999,43.82,2.48,46.32,6.37,47.2,46.0,67.3,49.0,37.8737,13.2558,8.7913,5.5822,2.6016,2.9807,5.3191,0.85,4.5212,0.8774,1.1535,2.8226,72.6,Medium,1
349,12,14,2,22.75,27.04,19.06,37.01,1.658,19.37,8.88,48.48,6.82,59.3,5.9,182.9,48.5,26.4557,17.4027,7.2801,2.8897,1.0696,1.8202,4.0162,0.85,3.4138,0.9493,0.5856,2.6508,60.05,Medium,1
271,10,14,3,25.45,30.15,22.04,57.39,0.915,15.58,8.4,52.62,6.35,82.9,47.5,166.2,49.9,34.5186,20.846,11.8302,3.4644,1.9881,1.4764,4.3338,1.15,4.9838,1.0,0.4805,4.489,79.0,High,1
107,4,10,2,36.22,41.7,31.08,58.76,2.827,8.7,5.64,48.37,7.1,151.1,29.1,188.7,48.1,38.1285,18.1528,12.2637,6.2927,3.6974,2.5953,6.5581,0.85,5.5744,0.9458,0.2779,4.9776,73.71,Medium,1
72,3,16,2,25.22,29.2,20.33,42.62,5.37,33.18,2.37,42.71,8.49,106.4,24.2,193.8,32.1,34.7998,12.1799,7.5328,3.219,1.372,1.8469,6.6991,0.85,5.6942,0.757,0.9299,3.3777,39.12,Low,1
189,7,6,4,24.48,30.35,19.99,83.03,3.829,217.7,2.61,62.12,6.1,246.8,21.4,281.9,63.8,39.0895,13.6813,9.308,3.3323,2.7668,0.5655,3.3965,0.7,2.3776,1.0,4.8923,0.0,73.58,Medium,0
21,1,12,4,21.15,25.55,16.88,46.55,0.941,22.49,9.08,47.68,6.4,73.9,33.9,241.0,57.6,28.1323,18.5761,8.5924,2.5975,1.2091,1.3884,3.3416,0.7,2.3391,0.9226,0.6686,1.4902,75.18,High,1
103,4,15,1,32.16,38.03,28.19,59.18,1.489,8.4,3.38,40.02,6.42,262.1,21.7,79.9,51.1,37.8737,14.6398,9.7634,5.2281,3.0941,2.134,4.5287,0.4,1.8115,0.6674,0.2687,0.9365,76.44,High,1
122,5,15,4,34.51,40.15,31.25,47.04,3.063,0.0,5.76,48.5,6.84,32.7,56.0,201.9,63.1,38.8078,18.4996,11.6913,5.9963,2.8209,3.1755,7.3305,0.7,5.1314,0.95,0.0,4.8628,80.27,High,1
215,8,9,2,24.44,29.74,20.54,77.08,0.374,45.91,2.56,48.64,6.89,82.3,22.1,189.8,39.4,38.6767,13.5368,9.109,3.2988,2.5429,0.7559,2.9331,0.85,2.4932,0.9546,1.1931,1.1614,71.03,Medium,1
